name,type,area,address,phone,fee,timings,rating,lat,lon,amenities,website
Anytime Fitness Prashant Vihar,Gym,Rohini,"Prashant Vihar, Rohini Sector 14, Madhuban Chowk, Outer Ring Road, Delhi - 110085",,,Open 24 hours,,28.7194381,77.1096934,24/7 Access,https://www.anytimefitness.com/en-in/locations/delhi-delhi-in-1136
Anytime Fitness Model Town,Gym,Model Town,"Model Town 1, Delhi - 110009",,,,,28.7044276,77.1951748,,https://www.anytimefitness.com/en-in/locations/delhi-delhi-in-1001
Anytime Fitness Lajpat Nagar,Gym,Lajpat Nagar,"32A, Lajpat Nagar II, New Delhi - 110065",,,Open 24 hours,,28.5675801,77.2466881,24/7 Access,
Anytime Fitness Ramphal Chowk,Gym,Dwarka,"Shaheed Ramphal Chowk Road, New Delhi - 110045",,,,,28.5857097,77.0715153,,
Anytime Fitness North Campus,Gym,Bungalow Road,"Bungalow Road, Maurice Nagar, Delhi - 110007",+918130432323,,Open 24 hours,,28.6839665,77.2046073,24/7 Access,https://www.anytimefitness.com/en-in/locations/delhi-delhi-in-1020
Anytime Fitness Najafgarh,Gym,Najafgarh,"Shivaji Marg, Najafgarh, New Delhi - 110043",,,Open 24 hours,,28.6129132,76.9920521,24/7 Access,
Anytime Fitness Connaught Place,Gym,Connaught Place,"37-38, Connaught Place, New Delhi - 110001",,,Open 24 hours,,28.6343344,77.2194332,24/7 Access,https://www.anytimefitness.com/en-in/locations/delhi-delhi-in-1043
Anytime Fitness Pitampura,Gym,Pitampura,"Maharshi Parshuram Marg, Pitampura, Delhi - 110034",,,,,28.6943032,77.1303444,,
Anytime Fitness Uttam Nagar,Gym,Uttam Nagar,"Kaushik's Tower, Plot No. 1-5, New Arya Samaj Road, Opposite Metro Pillar 679, Main Najafgarh Road, Uttam Nagar, Delhi - 110059",,,Open 24 hours,,28.621523,77.061106,24/7 Access,https://www.anytimefitness.com/en-in/locations/delhi-delhi-in-1187
Anytime Fitness Preet Vihar,Gym,Preet Vihar,"C-53, 2nd & 3rd Floor, Croma Building, Opposite Metro Pillar 84, Vikas Marg, Preet Vihar, Delhi - 110092",,,Open 24 hours,,28.641441,77.295259,24/7 Access,https://www.anytimefitness.com/en-in/locations/delhi-delhi-in-1021
Anytime Fitness I.P. Extension,Gym,I.P. Extension,"I.P. Extension, Patparganj, Delhi - 110092",,,Open 24 hours,,,,24/7 Access,https://www.anytimefitness.com/en-in/locations/new-delhi-delhi-in-1138
Anytime Fitness Shahdara,Gym,Shahdara,"Shahdara, Delhi - 110094",,,Open 24 hours,,28.67343,77.289886,24/7 Access,https://www.anytimefitness.com/en-in/locations/delhi-delhi-in-1073
