name,type,area,address,phone,fee,timings,rating,lat,lon,amenities,website
Battle Fit Gym Sarvodaya Enclave,Gym,Sarvodaya Enclave,,,,,,28.537408,77.20186,"Locker, Shower, Washrooms",https://www.cult.fit/cult/cult-pass/delhi-ncr/battle-fit-gym-sarvodaya-enclave/949
Cult Chattarpur,Gym,Chattarpur,"Third floor, D-104, 100 Feet Rd, Chhatarpur Hills, Mittal Garden, Chhatarpur, New Delhi - 110074",,,6:00 AM - 10:00 PM,,28.49714,77.181251,"Locker, Shower, Washrooms",https://www.cult.fit/cult/cult-pass/delhi-ncr/cult-gym-chattarpur/544
Cult Dayanand Vihar,Gym,Dayanand Vihar,,,,,,28.646117,77.304027,"Locker, Shower, Washrooms",https://www.cult.fit/cult/cult-pass/delhi-ncr/cult-gym-dayanand-vihar/1514
Cult Defence Colony,Gym,Defence Colony,"138, Arjun Nagar, Bhismpitamah Marg, South Extension, Kotla Mubarakpur, New Delhi - 110003",,,6:00 AM - 10:00 PM,,28.571358,77.23304,"Locker, Shower, Washrooms",https://www.cult.fit/cult/cult-pass/delhi-ncr/cult-gym-defence-colony/1808
Cult Gym Dwarka Sector 12,Gym,Dwarka Sector 12,"2A, 2nd/3rd Floor, Plot No. 12, Next to Modern Bazaar, Sector 12, Dwarka, New Delhi",,,5:00 AM - 11:00 PM,,28.592236,77.040732,"Locker, Shower, Washrooms",https://www.cult.fit/cult/cult-pass/delhi-ncr/cult-gym-dwarka-sector-12/413
Cult Dwarka Sector 23,Gym,Dwarka Sector 23,,,,,,28.56422,77.057823,"Locker, Shower, Washrooms",https://www.cult.fit/cult/cult-pass/delhi-ncr/cult-gym-dwarka-sector-23/2811
Cult Fitnest Prime Vasant Kunj,Gym,Vasant Kunj,,,,,,28.529249,77.154134,"Locker, Shower, Washrooms",https://www.cult.fit/cult/cult-pass/delhi-ncr/cult-gym-fitnest-prime-vasant-kunj/794
Cult Green Park,Gym,Green Park,"2nd and 3rd Floor, Above Modern Bazaar, A-4, Aurobindo Marg, Green Park, New Delhi - 110016",,,6:00 AM - 10:00 PM,,28.556442,77.20387,"Locker, Shower, Washrooms",https://www.cult.fit/cult/cult-pass/delhi-ncr/cult-gym-green-park/2370
Cult Janakpuri,Gym,Janakpuri,"A1/290, Pankha Road, Janakpuri Block A1, Janakpuri, New Delhi",,,6:00 AM - 10:00 PM,,28.621927,77.087476,"Locker, Shower, Washrooms",https://www.cult.fit/cult/cult-pass/delhi-ncr/cult-gym-janakpuri/563
Cult Lajpat Nagar,Gym,Lajpat Nagar,"2nd Floor, #49, Ring Road, Block H, Lajpat Nagar III, New Delhi",,,6:00 AM - 10:00 PM,,28.566092,77.243285,"Locker, Shower, Washrooms",https://www.cult.fit/cult/cult-pass/delhi-ncr/cult-gym-lajpat-nagar/1807
Cult Malviya Nagar,Gym,Malviya Nagar,,,,,,28.53392,77.212447,"Locker, Shower, Washrooms",https://www.cult.fit/cult/cult-pass/delhi-ncr/cult-gym-malviya-nagar-ncr/2901
Cult Mayur Vihar,Gym,Mayur Vihar,,,,,,28.609855,77.292632,"Locker, Shower, Washrooms",https://www.cult.fit/cult/cult-pass/delhi-ncr/cult-gym-mayur-vihar/2808
Cult Model Town,Gym,Model Town,,,,,,28.707334,77.188523,"Locker, Shower, Washrooms",https://www.cult.fit/cult/cult-pass/delhi-ncr/cult-gym-model-town/951
Cult Moti Nagar,Gym,Moti Nagar,,,,,,28.657859,77.142429,"Locker, Shower, Washrooms",https://www.cult.fit/cult/cult-pass/delhi-ncr/cult-gym-moti-nagar/1744
Cult New Rajinder Nagar,Gym,New Rajinder Nagar,,,,,,28.635786,77.18414,"Locker, Shower, Washrooms",https://www.cult.fit/cult/cult-pass/delhi-ncr/cult-gym-new-rajinder-nagar/2393
Cult Paschim Vihar B Block,Gym,Paschim Vihar,,,,,,28.669578,77.095956,"Locker, Shower, Washrooms",https://www.cult.fit/cult/cult-pass/delhi-ncr/cult-gym-paschim-vihar-b-block/914
Cult Paschim Vihar Rohtak RD,Gym,Paschim Vihar Rohtak RD,,,,,,28.67852,77.099769,"Locker, Shower, Washrooms",https://www.cult.fit/cult/cult-pass/delhi-ncr/cult-gym-paschim-vihar-rohtak-rd/632
Cult Patel Nagar,Gym,Patel Nagar,,,,,,28.645013,77.169282,"Locker, Shower, Washrooms",https://www.cult.fit/cult/cult-pass/delhi-ncr/cult-gym-patel-nagar/2750
Cult Pitampura,Gym,Pitampura,,,,,,28.703268,77.13225,"Locker, Shower, Washrooms",https://www.cult.fit/cult/cult-pass/delhi-ncr/cult-gym-pitampura/350
Cult Preet Vihar,Gym,Preet Vihar,,,,,,28.641441,77.295259,"Locker, Shower, Washrooms",https://www.cult.fit/cult/cult-pass/delhi-ncr/cult-gym-preet-vihar/953
Cult Rajouri Garden Z Block,Gym,Rajouri Garden,,,,,,28.649056,77.12272,"Locker, Shower, Washrooms",https://www.cult.fit/cult/cult-pass/delhi-ncr/cult-gym-rajouri-garden-z-block/1004
Cult Rohini Sector 11,Gym,Rohini Sector 11,,,,,,28.736418,77.10901,"Locker, Shower, Washrooms",https://www.cult.fit/cult/cult-pass/delhi-ncr/cult-gym-rohini-sector-11/1080
Cult Tilak Nagar,Gym,Tilak Nagar,,,,,,28.636548,77.096496,"Locker, Shower, Washrooms",https://www.cult.fit/cult/cult-pass/delhi-ncr/cult-gym-tilak-nagar/1541
Cult Vasant Kunj,Gym,Vasant Kunj,,,,,,28.529249,77.154134,"Locker, Shower, Washrooms",https://www.cult.fit/cult/cult-pass/delhi-ncr/cult-gym-vasant-kunj/2778
