name,type,area,address,phone,fee,timings,rating,lat,lon,amenities,website
Play Laser Tag,Activity Centre,Hauz Khas Village,"Hauz Khas Village Road, Hauz Khas, New Delhi",+919560881488,,,,28.5534965,77.1944073,"Laser Tag, Group Bookings",https://www.playlasertag.in/
Siri Fort Sports Complex,Activity Centre,Siri Fort,"August Kranti Marg, near Siri Fort Auditorium, New Delhi - 110049",+911126496657,,Opens 6:30 AM; closed Mondays,,28.5518217,77.2191807,"Swimming Pool, Tennis, Badminton, Squash, Gym, Yoga, Golf Driving Range",https://dda.gov.in/siri-fort-sports-complex
Siri Fort Squash and Badminton Complex,Activity Centre,Siri Fort,"Siri Fort Road, Anand Lok, New Delhi",,,,,28.5530797,77.2209136,"Squash, Badminton",
Thyagaraj Sports Complex,Activity Centre,South Extension,"Ch. Chandu Lal Balmiki Marg, Kotla Mubarakpur, New Delhi",,,,,28.5767668,77.2175065,"Athletics, Football, Tennis, Netball",
Vivekananda Yoga Anusandhana Samsthana,Yoga Studio,Hauz Khas,"Hauz Khas Enclave, New Delhi",,,,,28.5479508,77.2047351,,
The Box,Gym,South Extension,"South Extension I, New Delhi",,,,,28.5706046,77.2182065,CrossFit,
REPPP Vamoss,Activity Centre,South Extension,"South Extension I, New Delhi",,,,,28.5705022,77.2180992,Pickleball,
Evolve Gym,Gym,Bhikaji Cama Place,"Bhikaji Cama Place, New Delhi",,,,,28.5677888,77.1889479,,
Damo Shaolin Kung Fu School,Activity Centre,Shahpur Jat,"Shahpur Jat, New Delhi",,,,,28.5482568,77.2160025,Martial Arts,
Portfolio Salon,Spa,Greater Kailash,"Soami Nagar, Greater Kailash, New Delhi",+911140686681,,"10:00 AM - 8:00 PM, all days",,28.5431156,77.2241775,,
La Bella,Spa,South Extension,"South Extension II, New Delhi",,,,,28.5678749,77.2204909,,
